"filename", "language", "C++", "C", "comment", "blank", "total"
"c:\Users\shane\Documents\Projects\blackjack-tui\cards.h", "C++", 9, 0, 0, 2, 11
"c:\Users\shane\Documents\Projects\blackjack-tui\fileio.c", "C", 0, 57, 11, 15, 83
"c:\Users\shane\Documents\Projects\blackjack-tui\fileio.h", "C++", 8, 0, 0, 2, 10
"c:\Users\shane\Documents\Projects\blackjack-tui\greetings.c", "C", 0, 18, 1, 8, 27
"c:\Users\shane\Documents\Projects\blackjack-tui\greetings.h", "C++", 7, 0, 0, 2, 9
"c:\Users\shane\Documents\Projects\blackjack-tui\main.c", "C", 0, 42, 13, 19, 74
"c:\Users\shane\Documents\Projects\blackjack-tui\player.h", "C++", 11, 0, 0, 3, 14
"c:\Users\shane\Documents\Projects\blackjack-tui\stats.c", "C", 0, 1, 0, 1, 2
"c:\Users\shane\Documents\Projects\blackjack-tui\stats.h", "C++", 6, 0, 0, 2, 8
"Total", "-", 41, 118, 25, 54, 238